职位名称,标签,城市,薪资,工作年限,学位要求,工作要求,公司名称,公司类型,人数,Logo,发布时间
Android软件开发工程师,"3-4年,本科,需求分析,软件开发,编程,设计模式,android,风险管理,性能调优,车载系统,车机系统,多媒体,五险一金,年终奖金,绩效奖金",安徽省合肥,9千-1.8万,3-4年,本科,https://jobs.51job.com/hefei/152231413.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,武汉万科祥盈管理服务有限公司,已上市,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 09:41:12
Android系统开发工程师,"3-4年,本科,c++,android,系统架构,做五休二,弹性工作,带薪年假,节日福利,五险一金,员工旅游,年终奖金,周末双休",上海上海浦东新区,2-3.5万·13薪,3-4年,本科,https://jobs.51job.com/shanghai-pdxq/151016492.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海畅联智融通讯科技有限公司,外资（非欧美）,150-500人,http://img01.51jobcdn.com/imehire/userportrait/14/13309/13308158/5206a9281c6c6baafc334f90743c456a_small.gif?1614766120,2023-11-29 04:00:33
Android/JAVA开发工程师,"2年,本科,计算机,数据库,需求分析,开发,英语,代码编写,android,调优,安卓开发,技术验证,五险一金,年终奖金,餐饮补贴,专业培训,补充医疗保险",上海上海浦东新区张江,1.5-2.5万·13薪,2年,本科,https://jobs.51job.com/shanghai-pdxq/152244233.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,才纵（上海）工程技术有限公司,外资（欧美）,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:30:54
Android/安卓开发工程师,"2年,本科,需求分析,开发,调试,mvc,app,设计模式,android,http协议,调优,mvvm",江苏省常州新北区,8千-1.5万,2年,本科,https://jobs.51job.com/changzhou-xbq/152187222.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,北京韵盈科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-28 04:00:49
Android安卓开发工程师,"3-4年,本科,java,app,android,ui设计,计算机科学,需求确认,接口设计,布局,测试用例评审,androidsdk,五险一金,补充医疗保险,补充公积金,餐饮补贴,股票期权,年终奖金",深圳深圳南山区,2-3万·15薪,3-4年,本科,https://jobs.51job.com/shenzhen-nsq/152144196.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,恒玄科技（上海）股份有限公司,已上市,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_06_small.png,2023-11-26 04:00:51
Android开发工程师,"3-4年,本科,计算机,java,linux,软件工程,数据结构,app,设计模式,项目开发,xml,鸿蒙开发,五险一金,补充医疗保险,餐饮补贴,员工旅游,专业培训,弹性工作,定期体检,年终奖金,绩效奖金",上海上海闵行区浦江镇,1.2-2.2万,3-4年,本科,https://jobs.51job.com/shanghai-mhq/152263202.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,江苏嘉则信息技术有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-29 11:35:24
Android Freamwork工程师,"2年,本科,android,中间件,service,通信设备,架构设计,五险一金,员工旅游,专业培训,年终奖金,弹性工作",上海上海黄浦区,1.5-3万,2年,本科,https://jobs.51job.com/shanghai-hpq/150671330.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海量栀通信技术有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 11:59:21
Android开发工程师,"3-4年,本科,android,安卓,android开发,五险一金,定期体检,电脑补贴",广东省广州天河区,1.4-1.6万,3-4年,本科,https://jobs.51job.com/guangzhou-thq/125923188.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,广东阿尔创通信技术股份有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 17:04:27
Android安卓开发,"3-4年,本科,移动应用,安卓,Android,安卓开发,android开发,软件工程师,工程师,开发,android,五险一金,员工旅游,绩效奖金,年终奖金,专业培训",江苏省南京,1.4-1.6万,3-4年,本科,https://jobs.51job.com/nanjing/108613361.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,江苏南大电子信息技术股份有限公司,合资,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 04:00:33
Android/安卓开发工程师,"1年,本科",天津天津,1-1.2万,1年,本科,https://jobs.51job.com/tianjin/152238710.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,天津榕根物联科技有限公司,民营,少于50人,,2023-11-29 04:20:29
Android高级开发工程师,"1年,大专,android,安卓开发,五险一金,员工旅游,专业培训,年终奖金,弹性工作,午餐餐补",河北省雄安新区,1-2万,1年,大专,https://jobs.51job.com/xiongan-xaxq/140846233.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,北京其然科技有限公司,民营,,http://img01.51jobcdn.com/imehire/userportrait/19/18106/18105695/95715a99bf6462d85bd277b31c7c669d_small.gif?1656063867,2023-11-29 04:00:49
Android/安卓开发工程师,"2年,本科,android,java,c#,web,蓝牙,设计模式,串口通讯,软件开发,调试,编程",江苏省常州,8千-1.5万,2年,本科,https://jobs.51job.com/changzhou/149097478.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,常州市新瑞得仪器有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-28 13:08:28
Android/安卓开发工程师,"3-4年,本科,五险一金,生日福利,节日福利",浙江省杭州余杭区,9千-1.4万,3-4年,本科,https://jobs.51job.com/hangzhou-yhq/152231477.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,杭州盈创动力科技有限公司,民营,少于50人,,2023-11-29 04:00:18
Android驱动工程师,"1年,本科,java,多线程,framework,五险一金,员工旅游",深圳深圳龙岗区,1.5-2.5万,1年,本科,https://jobs.51job.com/shenzhen-lgq/140210933.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市安之眼科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 04:00:33
Android Linux驱动开发工程师,"5-7年,本科,android,linux,驱动开发,展锐,高通,外设驱动,员工旅游,节日福利,工作餐,五险,年终奖金,专业培训",深圳深圳福田区,2-3.5万,5-7年,本科,https://jobs.51job.com/shenzhen-ftq/149675429.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市鼎泰富科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-28 16:25:44
Android安卓开发工程师,"3-4年,本科,java,kotlin,五险一金,专业培训,年终奖金,绩效奖金,弹性工作,交通补贴",上海上海嘉定区,1.5-2.5万,3-4年,本科,https://jobs.51job.com/shanghai-jdq/142222896.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海荣灿信息科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_07_small.png,2023-11-29 10:18:49
Android/安卓开发工程师,"2年,本科,计算机,数据库,需求分析,开发,英语,代码编写,android,调优,安卓开发,技术验证,五险一金,年终奖金,餐饮补贴,专业培训,补充医疗保险",上海上海浦东新区张江,1.5-2.5万·13薪,2年,本科,https://jobs.51job.com/shanghai-pdxq/152218417.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,才纵（上海）工程技术有限公司,外资（欧美）,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:30:54
